# downsampled raw LIO trajectory
# t_rel	x	y	z
12.24600	1.19784	4.07921	-0.64645
12.24600	1.18306	4.11895	-0.65548
12.24600	1.16835	4.15503	-0.66693
12.31110	1.16046	4.19704	-0.67565
12.31110	1.15520	4.24597	-0.68330
12.37650	1.14351	4.26813	-0.69844
12.37650	1.12088	4.29141	-0.71443
12.44140	1.11816	4.32974	-0.73313
12.44140	1.12435	4.36697	-0.73859
12.50650	1.10901	4.40250	-0.74478
12.50650	1.09561	4.43601	-0.74485
12.50650	1.09039	4.48323	-0.74264
12.57200	1.10214	4.52140	-0.74263
12.57200	1.09080	4.55516	-0.75560
12.63710	1.08335	4.57636	-0.76711
12.63710	1.08695	4.60574	-0.77188
12.70150	1.08791	4.63406	-0.78446
12.70150	1.09329	4.66857	-0.79677
12.76750	1.09061	4.69518	-0.81079
12.76750	1.09111	4.72156	-0.81479
12.83250	1.10066	4.73787	-0.81393
12.83250	1.10451	4.74871	-0.81805
12.83250	1.09402	4.76744	-0.82115
12.89910	1.10226	4.79212	-0.81263
12.89910	1.11934	4.80902	-0.81031
12.96250	1.12189	4.84242	-0.80841
12.96250	1.11555	4.86197	-0.81094
13.02750	1.12262	4.88622	-0.81249
13.02750	1.14400	4.89742	-0.81212
13.09250	1.14190	4.90447	-0.82573
13.09250	1.13779	4.92617	-0.83422
13.09250	1.13693	4.95061	-0.83751
13.15770	1.14311	4.96437	-0.83613
13.15770	1.11752	4.98320	-0.84404
13.22300	1.11231	5.00677	-0.84434
13.22300	1.11000	5.02969	-0.84128
13.28800	1.11201	5.04743	-0.84174
13.28800	1.11847	5.08126	-0.83708
13.28800	1.11005	5.10461	-0.84520
13.35350	1.11263	5.12896	-0.84743
13.35350	1.11992	5.14791	-0.85473
13.41860	1.11507	5.17657	-0.86556
13.41860	1.11078	5.19767	-0.87683
13.48350	1.11569	5.21596	-0.88084
13.48350	1.12382	5.22539	-0.88492
13.54850	1.13637	5.23766	-0.89070
13.54850	1.12963	5.25262	-0.89036
13.54850	1.13247	5.27524	-0.88563
13.61400	1.14370	5.28865	-0.88141
13.61400	1.14759	5.30015	-0.88260
13.67850	1.14230	5.31685	-0.88310
13.67850	1.14412	5.33759	-0.88494
13.74600	1.16208	5.34987	-0.88838
13.74600	1.16537	5.35622	-0.89145
13.74600	1.16133	5.37270	-0.89177
13.80910	1.16708	5.39208	-0.88674
13.80910	1.17936	5.40429	-0.87977
13.87450	1.17268	5.41007	-0.88058
13.87450	1.17150	5.42222	-0.88244
13.93950	1.17717	5.43295	-0.88243
13.93950	1.18777	5.45079	-0.88507
14.00450	1.19778	5.46348	-0.89036
14.00450	1.20045	5.47766	-0.90033
14.00450	1.20778	5.49627	-0.90756
14.06950	1.21140	5.51402	-0.91326
14.06950	1.20334	5.52892	-0.91372
14.13450	1.19273	5.54572	-0.92097
14.13450	1.19251	5.56279	-0.91951
14.20000	1.19164	5.58242	-0.92542
14.20000	1.18906	5.60701	-0.93038
14.20000	1.17843	5.62418	-0.93299
14.26500	1.17820	5.64626	-0.93393
14.26500	1.17996	5.66758	-0.93298
14.33050	1.17359	5.68868	-0.93393
14.33050	1.17366	5.70513	-0.94155
14.39620	1.17786	5.72525	-0.94329
14.39620	1.18006	5.74521	-0.94890
14.46000	1.17345	5.75228	-0.95061
14.46000	1.16783	5.76922	-0.95469
14.46000	1.17081	5.78827	-0.95647
14.52510	1.17340	5.81057	-0.95281
14.52510	1.17375	5.81819	-0.95230
14.59040	1.17436	5.83061	-0.95655
14.59040	1.17510	5.85092	-0.95883
14.65550	1.21752	5.86364	-0.95437
14.65550	1.22933	5.87677	-0.96182
14.72050	1.24825	5.89260	-0.96629
14.72050	1.25656	5.90688	-0.96688
14.78580	1.26607	5.92256	-0.96586
14.78580	1.27023	5.93361	-0.97025
14.78580	1.27090	5.94696	-0.96359
14.85120	1.27653	5.96307	-0.95945
14.85120	1.28598	5.98258	-0.96106
14.91600	1.28149	5.99379	-0.97103
14.91600	1.27978	6.00725	-0.97224
14.98150	1.28280	6.02236	-0.96973
14.98150	1.28667	6.04010	-0.97230
15.04660	1.28404	6.05821	-0.98033
15.04660	1.27454	6.07406	-0.98826
15.04660	1.27389	6.09143	-0.99320
15.11150	1.27147	6.10824	-0.99706
15.11150	1.25048	6.12368	-1.00173
15.17700	1.23346	6.13768	-0.99933
15.17700	1.22957	6.15662	-0.99682
15.24150	1.22524	6.17521	-0.99251
15.24150	1.22438	6.19261	-0.99393
15.30700	1.22108	6.20963	-0.99851
15.30700	1.22863	6.22557	-1.00158
15.37250	1.23627	6.24484	-1.00434
15.37250	1.22987	6.25619	-1.01691
15.37250	1.24636	6.27308	-1.01976
15.43700	1.26078	6.30104	-1.02199
15.43700	1.26918	6.30419	-1.02392
15.50230	1.28392	6.31522	-1.02202
15.50230	1.31010	6.32888	-1.00782
15.56750	1.32686	6.34271	-1.00453
15.56750	1.33524	6.34631	-1.01025
15.63250	1.33486	6.34845	-1.01218
15.63250	1.34390	6.35976	-1.00440
15.69800	1.36275	6.37170	-1.00212
15.69800	1.37121	6.37646	-1.00727
15.69800	1.38055	6.38206	-1.01541
15.76250	1.38628	6.39710	-1.01637
15.76250	1.40078	6.41096	-1.01539
15.82850	1.41277	6.41950	-1.00669
15.82850	1.40842	6.43235	-0.99805
15.89330	1.40741	6.44860	-0.99004
15.89330	1.41260	6.45934	-0.98142
15.95800	1.41172	6.47178	-0.98160
15.95800	1.41455	6.48242	-0.98683
16.02300	1.42397	6.49400	-0.99547
16.02300	1.42795	6.52095	-1.00962
16.02300	1.44375	6.53555	-1.01250
16.08850	1.44551	6.54998	-1.02111
16.15350	1.45320	6.57501	-1.01852
16.15350	1.46352	6.59577	-1.01696
16.15350	1.46516	6.61494	-1.01865
16.21940	1.46479	6.63500	-1.01668
16.21940	1.46894	6.65988	-1.01455
16.28420	1.47697	6.67338	-1.02379
16.28420	1.47726	6.69430	-1.02946
16.34860	1.48204	6.72294	-1.03055
16.34860	1.49959	6.74105	-1.02870
16.41450	1.49962	6.75392	-1.03403
16.41450	1.50688	6.76758	-1.03457
16.47910	1.51056	6.78421	-1.03555
16.47910	1.51775	6.80125	-1.04241
16.54400	1.52945	6.81692	-1.04968
16.54400	1.54134	6.83403	-1.05849
16.60950	1.55604	6.85532	-1.05809
16.60950	1.55929	6.87394	-1.06411
16.60950	1.55721	6.88834	-1.06494
16.67920	1.55520	6.90611	-1.06464
16.73950	1.55647	6.92906	-1.06561
16.73950	1.56137	6.94625	-1.07005
16.73950	1.55514	6.96481	-1.07363
16.80500	1.55443	6.98531	-1.06472
16.80500	1.55022	7.00576	-1.06375
16.87010	1.55270	7.01767	-1.06510
16.87010	1.56077	7.03310	-1.06934
16.93500	1.56936	7.05127	-1.06904
16.93500	1.57515	7.06519	-1.07092
17.00050	1.57103	7.09631	-1.05919
17.00050	1.56580	7.11718	-1.04834
17.06540	1.57524	7.13942	-1.04767
17.06540	1.57426	7.15963	-1.05205
17.13050	1.57810	7.18327	-1.04956
17.13050	1.58809	7.20738	-1.05089
17.19570	1.60333	7.22835	-1.05913
17.19570	1.60269	7.24865	-1.07515
17.26060	1.62597	7.27700	-1.07946
17.26060	1.65187	7.30014	-1.08125
17.32550	1.66422	7.31641	-1.08867
17.32550	1.68144	7.33545	-1.09127
17.39090	1.69903	7.36029	-1.08462
17.39090	1.71569	7.37764	-1.08131
17.45560	1.72581	7.38030	-1.09144
17.45560	1.73973	7.38940	-1.08991
17.45560	1.76202	7.40634	-1.08408
17.52120	1.78151	7.41394	-1.08781
17.52120	1.78948	7.42842	-1.09139
17.58650	1.80180	7.44315	-1.08955
17.58650	1.82169	7.45577	-1.09064
17.65160	1.83356	7.45545	-1.09566
17.65160	1.82059	7.45804	-1.10509
17.71650	1.82426	7.47364	-1.10083
17.71650	1.83104	7.48404	-1.09366
17.78180	1.82563	7.48859	-1.09015
17.78180	1.81869	7.49784	-1.08412
17.84710	1.82201	7.50875	-1.07185
17.84710	1.83039	7.51805	-1.06654
17.91200	1.82727	7.52413	-1.06518
17.91200	1.82444	7.53052	-1.06968
17.97750	1.83105	7.53891	-1.07451
17.97750	1.84790	7.54446	-1.07680
17.97750	1.85148	7.54635	-1.08419
18.04200	1.85792	7.55701	-1.08540
18.10710	1.88308	7.56223	-1.07598
18.10710	1.88495	7.56170	-1.08351
18.10710	1.88460	7.55375	-1.09341
18.17250	1.88906	7.55150	-1.08705
18.17250	1.90270	7.54656	-1.08452
18.23800	1.91419	7.55848	-1.07142
18.23800	1.92278	7.56037	-1.06844
18.30300	1.92975	7.55945	-1.07388
18.30300	1.93883	7.56353	-1.07885
18.36800	1.95822	7.57366	-1.07400
18.36800	1.95768	7.58334	-1.07575
18.43300	1.97312	7.58707	-1.07018
18.43300	1.97957	7.59486	-1.06648
18.43300	1.98918	7.60518	-1.06132
18.49810	1.98821	7.61793	-1.06101
18.56350	1.99506	7.62776	-1.06583
18.56350	2.01518	7.64636	-1.06424
18.56350	2.02658	7.66042	-1.06134
18.62820	2.02577	7.67611	-1.06465
18.62820	2.02481	7.69248	-1.06859
18.69370	2.03956	7.71554	-1.06023
18.69370	2.04569	7.73408	-1.06368
18.75850	2.05616	7.75460	-1.06747
